DATE,CUSR0000SS61031
2002-01-01,105.700
2002-02-01,105.700
2002-03-01,105.700
2002-04-01,105.700
2002-05-01,106.000
2002-06-01,105.900
2002-07-01,106.200
2002-08-01,106.400
2002-09-01,106.500
2002-10-01,106.100
2002-11-01,106.100
2002-12-01,105.900
2003-01-01,106.500
2003-02-01,106.400
2003-03-01,106.500
2003-04-01,106.500
2003-05-01,105.700
2003-06-01,106.200
2003-07-01,106.900
2003-08-01,106.900
2003-09-01,106.800
2003-10-01,106.900
2003-11-01,107.500
2003-12-01,107.900
2004-01-01,108.500
2004-02-01,109.000
2004-03-01,109.500
2004-04-01,110.900
2004-05-01,111.000
2004-06-01,110.900
2004-07-01,110.600
2004-08-01,109.900
2004-09-01,110.600
2004-10-01,110.800
2004-11-01,110.700
2004-12-01,111.200
2005-01-01,110.400
2005-02-01,109.900
2005-03-01,110.000
2005-04-01,110.400
2005-05-01,110.900
2005-06-01,111.000
2005-07-01,110.800
2005-08-01,110.700
2005-09-01,110.500
2005-10-01,110.400
2005-11-01,111.300
2005-12-01,112.400
2006-01-01,112.500
2006-02-01,112.500
2006-03-01,112.300
2006-04-01,115.200
2006-05-01,116.400
2006-06-01,116.800
2006-07-01,116.900
2006-08-01,117.300
2006-09-01,117.300
2006-10-01,116.700
2006-11-01,116.300
2006-12-01,116.200
2007-01-01,116.744
2007-02-01,117.607
2007-03-01,117.560
2007-04-01,117.597
2007-05-01,117.831
2007-06-01,119.015
2007-07-01,119.541
2007-08-01,119.861
2007-09-01,121.051
2007-10-01,121.795
2007-11-01,121.755
2007-12-01,122.446
2008-01-01,122.744
2008-02-01,124.363
2008-03-01,127.029
2008-04-01,128.140
2008-05-01,129.026
2008-06-01,130.699
2008-07-01,133.660
2008-08-01,135.863
2008-09-01,138.135
2008-10-01,139.613
2008-11-01,140.737
2008-12-01,141.485
2009-01-01,142.499
2009-02-01,143.320
2009-03-01,143.760
2009-04-01,143.981
2009-05-01,143.863
2009-06-01,144.283
2009-07-01,144.892
2009-08-01,144.690
2009-09-01,144.721
2009-10-01,143.904
2009-11-01,143.451
2009-12-01,142.867
2010-01-01,143.085
2010-02-01,143.793
2010-03-01,144.312
2010-04-01,144.286
2010-05-01,143.442
2010-06-01,143.316
2010-07-01,142.261
2010-08-01,142.948
2010-09-01,143.190
2010-10-01,143.166
2010-11-01,143.278
2010-12-01,142.663
2011-01-01,143.186
2011-02-01,144.126
2011-03-01,145.239
2011-04-01,145.254
2011-05-01,144.702
2011-06-01,146.283
2011-07-01,147.422
2011-08-01,148.711
2011-09-01,148.599
2011-10-01,148.002
2011-11-01,147.965
2011-12-01,147.809
2012-01-01,148.702
2012-02-01,149.015
2012-03-01,149.873
2012-04-01,149.945
2012-05-01,149.794
2012-06-01,150.995
2012-07-01,150.125
2012-08-01,150.144
2012-09-01,151.224
2012-10-01,152.007
2012-11-01,152.663
2012-12-01,152.099
2013-01-01,152.172
2013-02-01,152.950
2013-03-01,154.021
2013-04-01,154.338
2013-05-01,154.931
2013-06-01,154.583
2013-07-01,154.647
2013-08-01,154.330
2013-09-01,154.238
2013-10-01,154.423
2013-11-01,154.447
2013-12-01,153.766
2014-01-01,153.301
2014-02-01,153.397
2014-03-01,152.169
2014-04-01,152.851
2014-05-01,153.496
2014-06-01,154.142
2014-07-01,153.166
2014-08-01,153.602
2014-09-01,154.283
2014-10-01,154.206
2014-11-01,154.259
2014-12-01,154.418
2015-01-01,152.653
2015-02-01,152.559
2015-03-01,153.397
2015-04-01,152.395
2015-05-01,152.958
2015-06-01,153.511
2015-07-01,150.514
2015-08-01,149.901
2015-09-01,150.955
2015-10-01,151.697
2015-11-01,151.724
2015-12-01,152.068
2016-01-01,152.312
2016-02-01,151.823
2016-03-01,151.671
2016-04-01,152.957
2016-05-01,152.772
2016-06-01,153.171
2016-07-01,152.388
2016-08-01,152.894
2016-09-01,152.669
2016-10-01,151.435
2016-11-01,151.859
2016-12-01,151.947
2017-01-01,151.819
2017-02-01,152.094
2017-03-01,151.394
2017-04-01,151.053
2017-05-01,151.390
2017-06-01,150.434
2017-07-01,150.343
2017-08-01,151.374
2017-09-01,150.377
2017-10-01,149.996
2017-11-01,148.498
2017-12-01,149.028
2018-01-01,149.855
2018-02-01,150.156
2018-03-01,150.254
2018-04-01,150.766
2018-05-01,150.791
2018-06-01,150.988
2018-07-01,150.832
2018-08-01,150.306
2018-09-01,150.700
2018-10-01,150.916
2018-11-01,150.883
2018-12-01,151.002
2019-01-01,151.723
2019-02-01,152.726
2019-03-01,153.469
2019-04-01,154.079
2019-05-01,154.985
2019-06-01,155.156
2019-07-01,156.355
