"CPI","Year","Month","t"
202.416,2007,"Jan",2007.08333333333
203.499,2007,"Feb",2007.16666666667
205.352,2007,"Mar",2007.25
206.686,2007,"Apr",2007.33333333333
207.949,2007,"May",2007.41666666667
208.352,2007,"Jun",2007.5
208.299,2007,"Jul",2007.58333333333
207.917,2007,"Aug",2007.66666666667
208.49,2007,"Sep",2007.75
208.936,2007,"Oct",2007.83333333333
210.177,2007,"Nov",2007.91666666667
210.036,2007,"Dec",2008
211.08,2008,"Jan",2008.08333333333
211.693,2008,"Feb",2008.16666666667
213.528,2008,"Mar",2008.25
214.823,2008,"Apr",2008.33333333333
216.632,2008,"May",2008.41666666667
218.815,2008,"Jun",2008.5
219.964,2008,"Jul",2008.58333333333
219.086,2008,"Aug",2008.66666666667
218.783,2008,"Sep",2008.75
216.573,2008,"Oct",2008.83333333333
212.425,2008,"Nov",2008.91666666667
210.228,2008,"Dec",2009
211.143,2009,"Jan",2009.08333333333
212.193,2009,"Feb",2009.16666666667
212.709,2009,"Mar",2009.25
213.24,2009,"Apr",2009.33333333333
213.856,2009,"May",2009.41666666667
215.693,2009,"Jun",2009.5
215.351,2009,"Jul",2009.58333333333
215.834,2009,"Aug",2009.66666666667
215.969,2009,"Sep",2009.75
216.177,2009,"Oct",2009.83333333333
216.33,2009,"Nov",2009.91666666667
215.949,2009,"Dec",2010
216.687,2010,"Jan",2010.08333333333
216.741,2010,"Feb",2010.16666666667
217.631,2010,"Mar",2010.25
218.009,2010,"Apr",2010.33333333333
218.178,2010,"May",2010.41666666667
217.965,2010,"Jun",2010.5
218.011,2010,"Jul",2010.58333333333
218.312,2010,"Aug",2010.66666666667
218.439,2010,"Sep",2010.75
218.711,2010,"Oct",2010.83333333333
218.803,2010,"Nov",2010.91666666667
219.179,2010,"Dec",2011
220.223,2011,"Jan",2011.08333333333
221.309,2011,"Feb",2011.16666666667
223.467,2011,"Mar",2011.25
224.906,2011,"Apr",2011.33333333333
225.964,2011,"May",2011.41666666667
225.722,2011,"Jun",2011.5
225.922,2011,"Jul",2011.58333333333
226.545,2011,"Aug",2011.66666666667
226.889,2011,"Sep",2011.75
226.421,2011,"Oct",2011.83333333333
226.23,2011,"Nov",2011.91666666667
225.672,2011,"Dec",2012
226.665,2012,"Jan",2012.08333333333
227.663,2012,"Feb",2012.16666666667
229.392,2012,"Mar",2012.25
230.085,2012,"Apr",2012.33333333333
229.815,2012,"May",2012.41666666667
229.478,2012,"Jun",2012.5
229.104,2012,"Jul",2012.58333333333
230.379,2012,"Aug",2012.66666666667
231.407,2012,"Sep",2012.75
231.317,2012,"Oct",2012.83333333333
230.221,2012,"Nov",2012.91666666667
229.601,2012,"Dec",2013
230.28,2013,"Jan",2013.08333333333
232.166,2013,"Feb",2013.16666666667
232.773,2013,"Mar",2013.25
232.531,2013,"Apr",2013.33333333333
232.945,2013,"May",2013.41666666667
233.504,2013,"Jun",2013.5
233.596,2013,"Jul",2013.58333333333
233.877,2013,"Aug",2013.66666666667
234.149,2013,"Sep",2013.75
233.546,2013,"Oct",2013.83333333333
233.069,2013,"Nov",2013.91666666667
233.049,2013,"Dec",2014
233.916,2014,"Jan",2014.08333333333
234.781,2014,"Feb",2014.16666666667
236.293,2014,"Mar",2014.25
237.072,2014,"Apr",2014.33333333333
237.9,2014,"May",2014.41666666667
238.343,2014,"Jun",2014.5
238.25,2014,"Jul",2014.58333333333
237.852,2014,"Aug",2014.66666666667
238.031,2014,"Sep",2014.75
237.433,2014,"Oct",2014.83333333333
236.151,2014,"Nov",2014.91666666667
234.812,2014,"Dec",2015
233.707,2015,"Jan",2015.08333333333
234.722,2015,"Feb",2015.16666666667
236.119,2015,"Mar",2015.25
236.599,2015,"Apr",2015.33333333333
237.805,2015,"May",2015.41666666667
238.638,2015,"Jun",2015.5
238.654,2015,"Jul",2015.58333333333
238.316,2015,"Aug",2015.66666666667
237.945,2015,"Sep",2015.75
237.838,2015,"Oct",2015.83333333333
237.336,2015,"Nov",2015.91666666667
236.525,2015,"Dec",2016
236.916,2016,"Jan",2016.08333333333
237.111,2016,"Feb",2016.16666666667
238.132,2016,"Mar",2016.25
239.261,2016,"Apr",2016.33333333333
240.229,2016,"May",2016.41666666667
241.018,2016,"Jun",2016.5
240.628,2016,"Jul",2016.58333333333
240.849,2016,"Aug",2016.66666666667
241.428,2016,"Sep",2016.75
241.729,2016,"Oct",2016.83333333333
241.353,2016,"Nov",2016.91666666667
241.432,2016,"Dec",2017
242.839,2017,"Jan",2017.08333333333
243.603,2017,"Feb",2017.16666666667
243.801,2017,"Mar",2017.25
244.524,2017,"Apr",2017.33333333333
244.733,2017,"May",2017.41666666667
244.955,2017,"Jun",2017.5
244.786,2017,"Jul",2017.58333333333
245.519,2017,"Aug",2017.66666666667
